origin_position_11,destination_position_11,n_passes,window,pattern_name
RCB,CF,2,to_40,outer_inner_exit
DM,DM,2,to_40,center_exit_pattern
RB,AM,2,to_40,outer_inner_exit
RB,CF,2,to_40,interior_exterior_same_side
AM,DM,2,to_40,interior_exterior_same_side
DM,RW,2,to_40,switch_of_play
RCB,DM,2,to_40,switch_of_play
RW,LW,2,to_40,switch_of_play
DM,RCB,2,to_40,interior_exterior_opposite_side
LB,CF,2,to_40,outer_inner_exit
LW,CF,2,to_40,interior_exterior_same_side
AM,RB,2,to_40,interior_exterior_opposite_side
RW,DM,2,to_40,outer_inner_exit
DM,AM,2,to_40,outer_inner_exit
CF,LW,2,to_40,interior_exterior_opposite_side
CF,AM,2,to_40,interior_exterior_same_side
DM,GK,2,to_40,center_exit_pattern
RW,CF,2,to_40,outer_inner_exit
RCB,LCB,2,to_40,outer_inner_exit
GK,LB,2,to_40,interior_exterior_same_side
LW,LCB,2,to_40,outer_inner_exit
AM,RW,2,to_40,switch_of_play
DM,DM,2,to_40,outer_inner_exit
RCB,LW,2,to_40,center_exit_pattern
RCB,LW,2,to_40,interior_exterior_same_side
DM,DM,2,to_40,switch_of_play
AM,DM,1,to_40,outer_inner_exit
LCB,AM,1,to_40,center_exit_pattern
AM,RW,1,to_40,center_exit_pattern
RCB,CM,1,to_40,interior_exterior_opposite_side
CM,LCB,1,to_40,interior_exterior_opposite_side
RW,RCB,1,to_40,interior_exterior_opposite_side
LCB,RCB,1,to_40,outer_inner_exit
CM,RW,1,to_40,interior_exterior_same_side
GK,LB,1,to_40,center_exit_pattern
LB,LCB,1,to_40,center_exit_pattern
GK,CM,1,to_40,interior_exterior_same_side
CM,CM,1,to_40,interior_exterior_same_side
DM,CM,1,to_40,center_exit_pattern
CF,LCB,1,to_40,center_exit_pattern
AM,DM,1,to_40,switch_of_play
RCB,LW,1,to_40,switch_of_play
GK,AM,1,to_40,switch_of_play
RB,CF,1,to_40,switch_of_play
RB,AM,1,to_40,center_exit_pattern
GK,CF,1,to_40,center_exit_pattern
AM,LW,1,to_40,outer_inner_exit
LW,RW,1,to_40,outer_inner_exit
RCB,RW,1,to_40,interior_exterior_same_side
RW,CF,1,to_40,interior_exterior_same_side
RW,RB,1,to_40,outer_inner_exit
GK,CF,1,to_40,interior_exterior_same_side
LCB,RB,1,to_40,interior_exterior_opposite_side
DM,RCB,1,to_40,other_pattern
DM,LB,1,to_40,center_exit_pattern
CF,DM,1,to_40,outer_inner_exit
