match_id,possession,team,period,action_number,event_id,index,minute,second,duration,player,player_id,position,type,location,location_x,location_y,pass_end_location,carry_end_location,pass_length,pass_angle,pass_height,pass_type,pass_outcome,pass_recipient,play_pattern,end_x,end_y,under_pressure_flag,outcome_label_x,outcome_label_y,reached_40_flag,reached_60_flag,analysis_end_action_number_to_40,analysis_end_action_number_to_60,big_pattern_to_40_id,big_pattern_to_40_name,big_pattern_to_60_id,big_pattern_to_60_name,first_3_relation_id,first_3_relation_name,position_11,is_in_to_40_window,is_in_to_60_window
4005039,41,Famalicão,1,4,90ec7fa1-f2fc-5646-828c-e73bced8ba0a,558,14,16,1.173,Justin de Haas,21721.0,Left Center Back,Pass,"[40.6, 13.3]",40.6,13.3,"[41.5, 2.1]",,11.24,-1.490611,Ground Pass,,,Luís Rafael Soares Alves,From Goal Kick,41.5,2.1,False,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,LCB,1,1
4005039,41,Famalicão,1,5,ba9158cc-df23-5b95-8bfc-2b333a592b71,560,14,17,2.379,Luís Rafael Soares Alves,10276.0,Left Back,Carry,"[41.5, 2.1]",41.5,2.1,,"[48.7, 2.5]",,,,,,,From Goal Kick,48.7,2.5,False,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,LB,1,1
4005039,41,Famalicão,1,6,48dedd45-57eb-57e1-92e3-221008211a4f,561,14,20,0.164,Luís Rafael Soares Alves,10276.0,Left Back,Pass,"[48.7, 2.5]",48.7,2.5,"[53.3, 3.4]",,4.69,0.193211,Low Pass,,Incomplete,,From Goal Kick,53.3,3.4,False,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,LB,0,1
4005039,41,Famalicão,1,7,1fc8abfb-2d72-52d2-8bbf-2380945aacbf,564,14,24,0.058,Justin de Haas,21721.0,Left Center Back,Carry,"[17.7, 23.0]",17.7,23.0,,"[16.4, 23.2]",,,,,,,From Goal Kick,16.4,23.2,False,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,LCB,0,1
4005039,41,Famalicão,1,8,38c8d3bf-c128-5b1e-ac5f-174d34403361,565,14,24,2.633,Justin de Haas,21721.0,Left Center Back,Pass,"[16.4, 23.2]",16.4,23.2,"[8.4, 41.0]",,19.52,1.993183,Ground Pass,,,Lazar Carević,From Goal Kick,8.4,41.0,False,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,LCB,0,1
4005039,41,Famalicão,1,9,f0cb06f1-8b03-5861-8c1d-716e357d3b30,567,14,27,0.909,Lazar Carević,153293.0,Goalkeeper,Carry,"[8.4, 41.0]",8.4,41.0,,"[8.0, 43.4]",,,,,,,From Goal Kick,8.0,43.4,True,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,GK,0,1
4005039,41,Famalicão,1,10,95138f6a-fafc-522a-ab7c-847ff4dbfc4b,569,14,27,0.181,Lazar Carević,153293.0,Goalkeeper,Pass,"[8.0, 43.4]",8.0,43.4,"[9.8, 43.8]",,1.84,0.218669,Low Pass,,Incomplete,,From Goal Kick,9.8,43.8,True,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,GK,0,1
4005039,42,Famalicão,1,1,c5dfe647-413b-5188-845a-de40c99c23c2,571,14,39,2.047,Lazar Carević,153293.0,Goalkeeper,Pass,"[6.0, 35.7]",6.0,35.7,"[13.0, 24.3]",,13.38,-1.020121,Ground Pass,Goal Kick,,Justin de Haas,From Goal Kick,13.0,24.3,False,success_partial,success_partial,1,0,6,7,4,center_exit_pattern,4,center_exit_pattern,1,GR-CB's,GK,1,1
4005039,42,Famalicão,1,2,9cab85b2-2848-5f9c-90db-3eb723675502,573,14,50,1.809,Justin de Haas,21721.0,Left Center Back,Pass,"[29.9, 18.4]",29.9,18.4,"[28.5, 55.8]",,37.43,1.608212,Ground Pass,,,Leonardo Javier Realpe Montaño,From Goal Kick,28.5,55.8,False,success_partial,success_partial,1,0,6,7,4,center_exit_pattern,4,center_exit_pattern,1,GR-CB's,LCB,1,1
4005039,42,Famalicão,1,3,913e4028-8fe8-5024-b181-01192bbe0461,575,14,52,2.029,Leonardo Javier Realpe Montaño,44099.0,Right Center Back,Carry,"[28.5, 55.8]",28.5,55.8,,"[33.5, 56.0]",,,,,,,From Goal Kick,33.5,56.0,False,success_partial,success_partial,1,0,6,7,4,center_exit_pattern,4,center_exit_pattern,1,GR-CB's,RCB,1,1
