position_11,avg_x,avg_y,window,pattern_name
LCB,25.50222222222222,25.982222222222223,to_60,center_exit_pattern
LW,47.93333333333334,27.53333333333333,to_60,center_exit_pattern
RB,20.9,66.3,to_60,center_exit_pattern
RCB,29.345454545454547,53.497727272727275,to_60,center_exit_pattern
RW,56.75454545454545,57.790909090909096,to_60,center_exit_pattern
AM,65.6,60.522222222222226,to_60,interior_exterior_opposite_side
CF,68.86,37.22,to_60,interior_exterior_opposite_side
CM,45.04545454545455,49.90909090909091,to_60,interior_exterior_opposite_side
DM,43.53636363636364,40.71515151515151,to_60,interior_exterior_opposite_side
GK,13.022619047619049,39.65238095238095,to_60,interior_exterior_opposite_side
LB,46.327777777777776,8.127777777777778,to_60,interior_exterior_opposite_side
LCB,26.834736842105265,22.877894736842105,to_60,interior_exterior_opposite_side
LW,69.3952380952381,9.22857142857143,to_60,interior_exterior_opposite_side
RB,43.67045454545455,68.96363636363637,to_60,interior_exterior_opposite_side
RCB,29.335416666666664,57.411458333333336,to_60,interior_exterior_opposite_side
RW,71.58571428571429,71.12857142857142,to_60,interior_exterior_opposite_side
AM,56.90212765957447,59.621276595744675,to_60,interior_exterior_same_side
CF,72.06666666666666,38.01,to_60,interior_exterior_same_side
CM,57.231578947368426,45.652631578947364,to_60,interior_exterior_same_side
DM,43.96,33.49619047619048,to_60,interior_exterior_same_side
GK,11.634574468085107,39.023936170212764,to_60,interior_exterior_same_side
LB,35.140952380952385,5.984761904761904,to_60,interior_exterior_same_side
LCB,24.014,23.000999999999998,to_60,interior_exterior_same_side
LW,63.372727272727275,8.754545454545454,to_60,interior_exterior_same_side
RB,40.83152173913044,71.5054347826087,to_60,interior_exterior_same_side
RCB,25.40326797385621,55.807843137254906,to_60,interior_exterior_same_side
RW,61.110638297872335,70.47872340425532,to_60,interior_exterior_same_side
AM,36.3,76.0,to_60,other_pattern
CF,54.36363636363637,38.690909090909095,to_60,other_pattern
CM,44.7,5.1,to_60,other_pattern
DM,38.194736842105264,36.22631578947368,to_60,other_pattern
GK,10.145833333333334,39.09583333333333,to_60,other_pattern
LB,23.048148148148147,7.488888888888888,to_60,other_pattern
LCB,20.26764705882353,27.72941176470588,to_60,other_pattern
LW,58.86,5.76,to_60,other_pattern
RB,39.49090909090909,73.88181818181819,to_60,other_pattern
RCB,18.363636363636363,52.52272727272727,to_60,other_pattern
RW,70.24,53.8,to_60,other_pattern
AM,51.59285714285714,42.26428571428572,to_60,outer_inner_exit
CF,49.64666666666667,49.63333333333333,to_60,outer_inner_exit
CM,37.975,46.625,to_60,outer_inner_exit
DM,41.50555555555556,26.644444444444446,to_60,outer_inner_exit
GK,12.453658536585367,40.6219512195122,to_60,outer_inner_exit
LB,26.687096774193545,7.290322580645161,to_60,outer_inner_exit
LCB,27.32894736842105,21.110526315789475,to_60,outer_inner_exit
LW,44.345,14.959999999999999,to_60,outer_inner_exit
RB,30.875,70.06071428571428,to_60,outer_inner_exit
RCB,32.9896551724138,56.5551724137931,to_60,outer_inner_exit
RW,58.521428571428565,71.4,to_60,outer_inner_exit
AM,56.68,57.492,to_60,switch_of_play
CF,70.7875,30.25,to_60,switch_of_play
CM,49.41111111111111,48.62222222222223,to_60,switch_of_play
DM,44.25252525252525,33.94444444444444,to_60,switch_of_play
GK,14.182882882882883,40.56666666666666,to_60,switch_of_play
LB,40.55194805194805,8.358441558441559,to_60,switch_of_play
LCB,31.564028776978414,21.697841726618705,to_60,switch_of_play
LW,64.82727272727273,9.625,to_60,switch_of_play
RB,42.708,71.67866666666666,to_60,switch_of_play
RCB,30.043307086614174,56.93937007874016,to_60,switch_of_play
RW,58.05142857142857,71.68285714285715,to_60,switch_of_play
