origin_position_11,destination_position_11,n_passes,window,pattern_name
LW,DM,2,to_40,outer_inner_exit
DM,DM,2,to_40,outer_inner_exit
RCB,LW,2,to_40,interior_exterior_same_side
RB,CM,2,to_40,interior_exterior_opposite_side
LCB,CM,2,to_40,outer_inner_exit
LCB,CM,2,to_40,interior_exterior_same_side
RCB,CM,2,to_40,center_exit_pattern
LB,DM,2,to_40,switch_of_play
RB,GK,2,to_40,switch_of_play
DM,DM,2,to_40,switch_of_play
LCB,AM,1,to_40,center_exit_pattern
AM,RW,1,to_40,center_exit_pattern
RCB,CM,1,to_40,interior_exterior_opposite_side
CM,LCB,1,to_40,interior_exterior_opposite_side
RW,RCB,1,to_40,interior_exterior_opposite_side
CM,RW,1,to_40,interior_exterior_same_side
GK,LB,1,to_40,center_exit_pattern
LB,LCB,1,to_40,center_exit_pattern
GK,CM,1,to_40,interior_exterior_same_side
CM,CM,1,to_40,interior_exterior_same_side
DM,CM,1,to_40,center_exit_pattern
CF,LCB,1,to_40,center_exit_pattern
AM,DM,1,to_40,switch_of_play
RCB,LW,1,to_40,switch_of_play
GK,AM,1,to_40,switch_of_play
RB,CF,1,to_40,switch_of_play
RB,AM,1,to_40,center_exit_pattern
GK,CF,1,to_40,center_exit_pattern
AM,LW,1,to_40,outer_inner_exit
LW,RW,1,to_40,outer_inner_exit
RCB,RW,1,to_40,outer_inner_exit
RW,RB,1,to_40,outer_inner_exit
GK,CF,1,to_40,interior_exterior_same_side
LCB,RB,1,to_40,interior_exterior_opposite_side
DM,RCB,1,to_40,other_pattern
DM,LB,1,to_40,center_exit_pattern
CF,DM,1,to_40,outer_inner_exit
RB,DM,1,to_40,interior_exterior_same_side
AM,LB,1,to_40,outer_inner_exit
DM,LB,1,to_40,switch_of_play
LCB,LW,1,to_40,switch_of_play
RW,RB,1,to_40,switch_of_play
DM,LW,1,to_40,outer_inner_exit
RCB,LB,1,to_40,outer_inner_exit
LW,AM,1,to_40,outer_inner_exit
GK,DM,1,to_40,interior_exterior_opposite_side
LCB,CF,1,to_40,switch_of_play
RB,DM,1,to_40,interior_exterior_opposite_side
DM,LB,1,to_40,other_pattern
DM,RCB,1,to_40,interior_exterior_same_side
AM,LW,1,to_40,interior_exterior_same_side
GK,AM,1,to_40,interior_exterior_same_side
LCB,RW,1,to_40,outer_inner_exit
LW,DM,1,to_40,interior_exterior_opposite_side
DM,LW,1,to_40,interior_exterior_opposite_side
CF,RW,1,to_40,interior_exterior_same_side
GK,AM,1,to_40,center_exit_pattern
LW,DM,1,to_40,other_pattern
LB,RW,1,to_40,other_pattern
LB,CM,1,to_40,other_pattern
CF,LB,1,to_40,interior_exterior_opposite_side
GK,RW,1,to_40,interior_exterior_same_side
CF,RB,1,to_40,outer_inner_exit
LB,CM,1,to_40,interior_exterior_opposite_side
GK,CF,1,to_40,outer_inner_exit
CF,RCB,1,to_40,outer_inner_exit
RCB,CM,1,to_40,outer_inner_exit
RB,CF,1,to_40,other_pattern
LB,AM,1,to_40,interior_exterior_same_side
LCB,RB,1,to_40,other_pattern
RB,AM,1,to_40,other_pattern
AM,RB,1,to_40,other_pattern
RB,DM,1,to_40,other_pattern
LW,CF,1,to_40,outer_inner_exit
LCB,CF,1,to_40,outer_inner_exit
CF,AM,1,to_40,outer_inner_exit
AM,RCB,1,to_40,outer_inner_exit
LCB,AM,1,to_40,switch_of_play
RCB,RCB,1,to_40,center_exit_pattern
DM,DM,1,to_40,interior_exterior_same_side
CF,RW,1,to_40,outer_inner_exit
GK,LW,1,to_40,interior_exterior_same_side
LW,LCB,1,to_40,interior_exterior_same_side
GK,RW,1,to_40,outer_inner_exit
RB,DM,1,to_40,switch_of_play
LB,DM,1,to_40,other_pattern
DM,GK,1,to_40,outer_inner_exit
LCB,RB,1,to_40,outer_inner_exit
RCB,LW,1,to_40,center_exit_pattern
GK,RW,1,to_40,switch_of_play
CF,DM,1,to_40,other_pattern
LW,RCB,1,to_40,interior_exterior_same_side
DM,GK,1,to_40,other_pattern
RW,DM,1,to_40,interior_exterior_same_side
LCB,AM,1,to_40,interior_exterior_same_side
RCB,GK,1,to_40,outer_inner_exit
CM,DM,1,to_40,outer_inner_exit
DM,LB,1,to_40,outer_inner_exit
CM,DM,1,to_40,interior_exterior_same_side
DM,GK,1,to_40,switch_of_play
RB,AM,1,to_40,switch_of_play
AM,CF,1,to_40,interior_exterior_same_side
RCB,RCB,1,to_40,outer_inner_exit
RB,RB,1,to_40,outer_inner_exit
RB,DM,1,to_40,outer_inner_exit
LW,LB,1,to_40,interior_exterior_same_side
LB,CF,1,to_40,interior_exterior_opposite_side
LW,CM,1,to_40,interior_exterior_same_side
RCB,DM,1,to_40,other_pattern
DM,RB,1,to_40,other_pattern
LB,CM,1,to_40,interior_exterior_same_side
RB,CM,1,to_40,interior_exterior_same_side
LCB,CM,1,to_40,interior_exterior_opposite_side
CM,DM,1,to_40,interior_exterior_opposite_side
RB,CM,1,to_40,center_exit_pattern
CM,DM,1,to_40,center_exit_pattern
LW,RB,1,to_40,interior_exterior_opposite_side
CM,RB,1,to_40,interior_exterior_same_side
RW,RCB,1,to_40,switch_of_play
DM,AM,1,to_40,interior_exterior_opposite_side
RB,GK,1,to_40,interior_exterior_same_side
LCB,RW,1,to_40,interior_exterior_same_side
LCB,CF,1,to_40,interior_exterior_same_side
CF,LCB,1,to_40,interior_exterior_same_side
AM,RCB,1,to_40,interior_exterior_same_side
DM,LCB,1,to_40,center_exit_pattern
GK,LW,1,to_40,outer_inner_exit
LB,DM,1,to_40,interior_exterior_opposite_side
LB,AM,1,to_40,switch_of_play
LCB,RW,1,to_40,switch_of_play
RW,RCB,1,to_40,interior_exterior_same_side
GK,LB,1,to_40,interior_exterior_opposite_side
CM,CM,1,to_40,outer_inner_exit
RB,RW,1,to_40,other_pattern
CM,LW,1,to_40,center_exit_pattern
LW,CF,1,to_40,center_exit_pattern
CF,LB,1,to_40,center_exit_pattern
RB,LB,1,to_40,switch_of_play
GK,LCB,153,to_60,all
GK,RCB,108,to_60,all
LCB,LB,88,to_60,all
LCB,GK,86,to_60,all
RCB,GK,70,to_60,all
RCB,RB,63,to_60,all
LCB,DM,57,to_60,all
LCB,RCB,55,to_60,all
RCB,LCB,52,to_60,all
LB,LW,46,to_60,all
RCB,DM,33,to_60,all
GK,LB,32,to_60,all
RB,RW,32,to_60,all
GK,DM,30,to_60,all
DM,RB,26,to_60,all
GK,RB,26,to_60,all
RB,RCB,25,to_60,all
DM,LCB,23,to_60,all
LB,LCB,21,to_60,all
LB,DM,21,to_60,all
DM,LB,20,to_60,all
DM,RCB,20,to_60,all
RB,AM,20,to_60,all
DM,AM,17,to_60,all
RCB,AM,16,to_60,all
LW,DM,14,to_60,all
DM,LW,14,to_60,all
DM,GK,13,to_60,all
DM,DM,12,to_60,all
AM,RW,12,to_60,all
LCB,LW,12,to_60,all
LCB,CF,11,to_60,all
DM,RW,11,to_60,all
AM,RB,11,to_60,all
AM,DM,10,to_60,all
RW,AM,10,to_60,all
RCB,CF,10,to_60,all
RW,RB,10,to_60,all
CF,DM,9,to_60,all
RCB,LW,9,to_60,all
LB,CF,9,to_60,all
RB,CM,9,to_60,all
LCB,CM,8,to_60,all
CM,DM,8,to_60,all
RB,DM,8,to_60,all
RCB,CM,7,to_60,all
RCB,RW,7,to_60,all
RW,DM,7,to_60,all
LW,LB,7,to_60,all
RB,CF,7,to_60,all
CF,LW,7,to_60,all
GK,AM,6,to_60,all
CM,CF,6,to_60,all
RW,RCB,6,to_60,all
LB,GK,6,to_60,all
CF,RW,6,to_60,all
CM,RB,5,to_60,all
LW,LCB,5,to_60,all
LCB,RB,5,to_60,all
DM,CF,5,to_60,all
RB,GK,5,to_60,all
RCB,LB,4,to_60,all
AM,LW,4,to_60,all
LW,AM,4,to_60,all
LW,CF,4,to_60,all
LCB,RW,4,to_60,all
AM,RCB,3,to_60,all
LCB,AM,3,to_60,all
CF,LCB,3,to_60,all
GK,CF,3,to_60,all
RW,LW,3,to_60,all
CF,AM,3,to_60,all
LB,CM,3,to_60,all
CF,LB,3,to_60,all
GK,RW,3,to_60,all
LB,AM,3,to_60,all
CM,LCB,2,to_60,all
CM,CM,2,to_60,all
DM,CM,2,to_60,all
CF,RB,2,to_60,all
RCB,RCB,2,to_60,all
GK,LW,2,to_60,all
AM,CF,2,to_60,all
LW,CM,2,to_60,all
CM,RW,1,to_60,all
RW,CF,1,to_60,all
GK,CM,1,to_60,all
LW,RW,1,to_60,all
RB,LW,1,to_60,all
AM,LB,1,to_60,all
LB,RW,1,to_60,all
CF,RCB,1,to_60,all
LW,RCB,1,to_60,all
RW,LCB,1,to_60,all
RB,RB,1,to_60,all
CM,RCB,1,to_60,all
LW,RB,1,to_60,all
RW,CM,1,to_60,all
AM,LCB,1,to_60,all
RB,LCB,1,to_60,all
CM,LW,1,to_60,all
RB,LB,1,to_60,all
GK,LCB,71,to_60,interior_exterior_same_side
GK,RCB,43,to_60,interior_exterior_same_side
LCB,LB,41,to_60,interior_exterior_same_side
LCB,GK,32,to_60,interior_exterior_same_side
GK,LCB,30,to_60,interior_exterior_opposite_side
RCB,GK,27,to_60,interior_exterior_same_side
RCB,RB,27,to_60,interior_exterior_same_side
GK,LCB,24,to_60,switch_of_play
GK,RCB,24,to_60,switch_of_play
GK,RCB,23,to_60,interior_exterior_opposite_side
LCB,LB,23,to_60,switch_of_play
LCB,DM,23,to_60,interior_exterior_same_side
RCB,RB,21,to_60,switch_of_play
RCB,LCB,19,to_60,switch_of_play
LCB,GK,18,to_60,switch_of_play
LCB,RCB,17,to_60,interior_exterior_opposite_side
LCB,RCB,17,to_60,interior_exterior_same_side
GK,LCB,16,to_60,center_exit_pattern
LB,LW,16,to_60,interior_exterior_same_side
RB,RW,15,to_60,interior_exterior_same_side
LCB,GK,15,to_60,other_pattern
LCB,DM,14,to_60,switch_of_play
LCB,LB,14,to_60,interior_exterior_opposite_side
RCB,LCB,14,to_60,interior_exterior_same_side
GK,DM,14,to_60,interior_exterior_same_side
RCB,GK,13,to_60,switch_of_play
RCB,GK,13,to_60,interior_exterior_opposite_side
LCB,RCB,13,to_60,switch_of_play
LB,LW,13,to_60,switch_of_play
RB,RCB,13,to_60,switch_of_play
DM,RB,12,to_60,switch_of_play
DM,LB,12,to_60,interior_exterior_same_side
LCB,GK,11,to_60,interior_exterior_opposite_side
