match_id,loss_possession,next_possession,n_shots,shot_occurred,entry_last_third,shot_10_15,progression,transition_speed,shot_rate
4005812,189,190,0,0,0,0,13,6.400000000000006,0
4005812,191,192,0,0,0,0,0,0.0,0
4005812,210,211,0,0,1,0,25,3.0749999999999993,0
4005812,217,218,0,0,0,0,5,0.5666666666666667,0
4005812,237,238,0,0,0,0,0,0.0,0
4005817,60,61,0,0,0,0,-10,-0.6928571428571431,0
4005817,110,111,0,0,0,0,21,3.5,0
4005817,185,186,0,0,0,0,13,13.399999999999999,0
4005817,195,196,0,0,1,0,-16,-1.7222222222222223,0
4005817,207,208,0,0,0,0,-20,-1.7083333333333333,0
4005828,12,13,0,0,0,0,0,0.0,0
4005828,47,48,0,0,0,0,0,0.0,0
4005828,48,49,0,0,0,0,-14,-0.9266666666666665,0
4005828,55,56,0,0,0,0,0,0.0,0
4005828,72,73,0,0,0,0,0,0.0,0
4005828,75,76,7,0,1,0,36,3.55,0
4005828,84,85,0,0,0,0,-8,-0.6153846153846154,0
4005828,114,115,12,0,1,0,3,2.9000000000000057,0
4005828,137,138,4,0,1,0,0,-0.5,0
4005828,146,147,0,0,1,0,24,5.924999999999997,0
4005840,23,24,0,0,1,0,2,0.4,0
4005840,31,32,0,0,0,0,0,0.0,0
4005840,48,49,0,0,0,0,-34,-2.8249999999999997,0
4005840,53,54,0,0,0,0,26,2.888888888888889,0
4005840,88,89,0,0,0,0,11,0.8071428571428569,0
4005840,91,92,0,0,0,0,0,0.0,0
4005840,162,163,0,0,0,0,19,1.4692307692307693,0
4005840,190,191,4,0,1,1,6,0.4923076923076927,0
4005840,194,195,0,0,0,0,0,0.0,0
4005840,206,207,0,0,0,0,23,3.22857142857143,0
4005843,42,43,0,0,0,0,0,0.0,0
4005843,46,47,0,0,0,0,-38,-4.8,0
4005843,81,82,0,0,0,0,0,0.0,0
4005843,87,88,0,0,0,0,0,0.0,0
4005843,117,118,0,0,0,0,-9,-0.6615384615384616,0
4005843,120,121,0,0,0,0,0,0.0,0
4005843,140,141,0,0,1,0,7,7.200000000000003,0
4005843,146,147,0,0,0,0,0,0.0,0
4005843,150,151,0,0,0,0,0,0.0,0
4005843,190,191,0,0,0,0,-3,-1.0,0
4005843,203,204,0,0,0,0,21,3.483333333333333,0
4005856,72,73,0,0,0,0,11,1.1300000000000003,0
4005856,75,76,0,0,1,0,59,7.3375,0
4005856,87,88,0,0,0,0,0,0.0,0
4005861,9,10,15,0,0,0,3,3.0,0
4005861,11,12,0,0,0,0,0,0.0,0
4005861,32,33,0,0,0,0,-14,-1.0071428571428573,0
4005861,44,45,0,0,0,0,-14,-1.4,0
4005861,62,63,0,0,1,0,6,3.200000000000003,0
4005861,127,128,0,0,0,0,-3,-0.27500000000000036,0
4005861,139,140,0,0,0,0,0,0.0,0
4005861,194,195,0,0,0,0,2,1.0,0
4005861,222,223,0,0,0,0,0,0.0,0
4005861,228,229,0,0,0,0,0,0.0,0
4005872,84,85,0,0,0,0,-8,-0.9625000000000004,0
4005872,125,126,0,0,0,0,0,0.0,0
4005872,142,143,0,0,1,0,-6,-0.6777777777777771,0
4005872,157,158,0,0,0,0,0,-0.09999999999999964,0
4005872,183,184,0,0,1,0,63,6.999999999999999,0
4005872,187,188,0,0,1,0,15,3.0600000000000023,0
4005881,6,7,0,0,0,0,-1,-1.0,0
4005881,41,42,0,0,0,0,0,0.0,0
4005881,60,61,0,0,1,0,40,3.6363636363636362,0
4005881,63,64,0,0,0,0,0,0.0,0
4005881,82,83,0,0,0,0,10,4.800000000000004,0
4005881,96,97,0,0,1,0,-4,-1.1666666666666667,0
4005881,179,180,0,0,0,0,-14,-1.046153846153846,0
4005881,184,185,0,0,1,0,20,3.4166666666666665,0
4005881,191,192,0,0,1,0,29,4.8,0
4005887,7,8,0,0,0,0,11,0.9636363636363637,0
4005887,18,19,0,0,0,0,-8,-0.6818181818181818,0
4005887,21,22,0,0,0,0,0,0.0,0
4005887,25,26,0,0,0,0,0,0.0,0
4005887,49,50,0,0,0,0,0,0.0,0
4005887,73,74,0,0,0,0,0,0.0,0
4005887,76,77,0,0,1,0,10,1.7333333333333343,0
4005887,86,87,0,0,1,0,19,9.549999999999997,0
