match_id,possession,first_event_id,first_event_index,first_player,first_position,first_start_x,first_end_x,n_actions_in_possession,n_distinct_players,validated_success_partial,validated_success_total,success_partial_start_action_number,success_partial_end_action_number,success_total_start_action_number,success_total_end_action_number,outcome_label
4005920,108,0873171b-4120-48eb-b3b8-6f1044ce3c09,1343,Lazar Carević,Goalkeeper,10.8,28.8,8,5,True,False,2.0,4.0,,,success_partial
4005920,111,4f04949b-b06e-4dae-85ad-3f2bf1f3bc66,1395,Lazar Carević,Goalkeeper,5.7,10.7,10,5,True,False,8.0,10.0,,,success_partial
4005920,129,abaa54aa-eb74-48aa-912a-63fb668d47d7,1597,Ibrahima Ba,Right Center Back,39.9,12.6,14,5,True,True,6.0,8.0,7.0,9.0,success_total
4005920,151,0c190a72-30d2-47fe-a493-26d267c163a0,1976,Lazar Carević,Goalkeeper,12.6,21.9,8,5,False,False,,,,,unsuccessful
4005920,154,17eb65f7-e101-4386-b721-a379c1bb1f76,2045,Lazar Carević,Goalkeeper,9.1,26.3,4,3,True,False,2.0,4.0,,,success_partial
4005920,157,6cf964c8-8c49-462e-bf9e-afde583680fc,2068,Lazar Carević,Goalkeeper,5.3,31.6,3,3,False,False,,,,,unsuccessful
4005920,164,32f3563c-4fcc-42a4-b8c9-0c902e049b33,2128,Lazar Carević,Goalkeeper,5.0,30.8,3,3,False,False,,,,,unsuccessful
4005920,167,074cb1b3-fb52-430a-be92-3924c2c1e925,2156,Lazar Carević,Goalkeeper,6.3,16.3,7,4,False,False,,,,,unsuccessful
4005920,169,52a2ecca-85db-4e9d-9416-3ce03166671b,2192,Justin de Haas,Left Center Back,12.9,17.3,5,3,False,False,,,,,unsuccessful
4005920,175,5e6c9003-3203-473f-8c55-cd7e5d1de399,2226,Lazar Carević,Goalkeeper,6.3,22.1,5,4,True,False,2.0,4.0,,,success_partial
4005920,193,b9cced57-0420-483b-9e05-03bce9ea2287,2415,Lazar Carević,Goalkeeper,3.9,27.4,3,3,False,False,,,,,unsuccessful
4005926,12,f3b8cc5b-f327-4aa2-9df1-c09c1720e4c7,101,Lazar Carević,Goalkeeper,4.3,9.2,5,3,False,False,,,,,unsuccessful
4005926,55,20013a55-cf6f-4571-95ba-58280a306247,647,Leonardo Javier Realpe Montaño,Left Center Back,5.0,24.0,5,3,True,False,3.0,5.0,,,success_partial
4005926,60,0d38d56f-58a4-4b38-88e1-89a60eea5574,685,Lazar Carević,Goalkeeper,5.0,4.3,9,4,True,False,6.0,8.0,,,success_partial
4005926,73,cb3338fc-78ce-4e72-8e13-4bf78c3b3887,821,Lazar Carević,Goalkeeper,4.3,15.6,8,4,False,False,,,,,unsuccessful
4005926,85,4311ca02-d3d1-4d7f-878a-696b9302d177,1048,Lazar Carević,Goalkeeper,4.5,15.4,9,6,True,True,2.0,4.0,4.0,6.0,success_total
